Key,Id,Shared Comments,Korean(ko),Korean(ko) Comments,English(en),English(en) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments
Item_Name_-1,14464362828910592,,비어있음,,Empty,,空,
Item_Name_0,19234345308160,,제세동기,,Defibrillator,,除細動器,
Item_Name_1,19234362085376,,반창고,,Band-Aid,,絆創膏,
Item_Name_2,19234362085377,,붕대,,Bandage,,包帯,
Item_Name_3,19234362085378,,작은 기름통,,Small Oil Can,,小さな油入れ,
Item_Name_4,19234362085379,,큰 기름통,,Large Oil Can,,大きな油入れ,
Item_Name_5,19234362085380,,작은 수리 키트,,Small Repair Kit,,小さな修理キット,
Item_Name_6,19234362085381,,큰 수리 키트,,Large Repair Kit,,大きな修理キット,
Item_Name_7,19234362085382,,레버,,Lever,,レバー,
Item_Name_8,19234362085383,,에너지 드링크,,Energy Drink,,エナジードリンク,
Item_Name_9,19234362085384,,아드레날린 주사기,,Adrenaline Syringe,,アドレナリン注射器,
Item_Name_10,19234362085385,,피로회복제,,Fatigue Remedy,,疲労回復剤,
Item_Name_11,19234362085386,,활력제,,Invigorating Agent,,活力剤,
Item_Name_12,19234362085387,,해독제,,Antidote,,解毒剤,
Item_Name_13,19234362085388,,폭탄 풍선,,Bomb Balloon,,爆弾風船,
Item_Name_14,19234362085389,,수배지,,Wanted Land,,手配紙,
Item_Name_15,19234362085390,,속도향상기,,Speed Booster,,スピードアップ器,
Item_Name_16,19234362085391,,비상식량,,Emergency Food,,非常食,
Item_Name_17,19234362085392,,약탈자 도감,,Predator's Book,,略奪者図鑑,
Item_Name_18,19234362085393,,클레이모어,,Claymore,,クレイモア,
Item_Name_19,19234362085394,,철조망,,Barbed Wire,,鉄条網,
Item_Name_20,19234362085395,,회복의 총알,,Recovery Bullet,,回復の銃弾,
Item_Name_21,19234362085396,,튕기는 총알,,Bouncing Bullet,,跳ね返り弾,
Item_Name_22,19234362085397,,불의 총알,,Bullet of Fire,,火の弾,
Item_Name_23,19234362085398,,단검,,Dagger,,短剣,
Item_Name_24,19234362085399,,공포의 깃발,,Flag of Terror,,恐怖の旗,
Item_Name_25,19234362085400,,탐욕의 깃발,,Flag of Greed,,貪欲の旗,
Item_Name_26,19234362085401,,약화의 깃발,,Flag of Weakness,,弱体化の旗,
Item_Name_27,19234362085402,,거대의 깃발,,Huge Flag,,巨大な旗,
Item_Name_28,19234362085403,,천막,,Tent,,テント,
Item_Name_29,19234362085404,,미니 포탑,,Mini Turrets,,ミニ砲塔,
Item_Name_30,19234362085405,,총 업그레이드,,Gun Upgrade,,銃のアップグレードです,
Item_Name_31,19234362085406,,거대 총알,,Giant Bullet,,巨大弾,
Item_Name_32,19234362085407,,미니 쉴드,,Mini Shield,,ミニ·シールド,
Item_Name_33,19234362085408,,회복 쉴드,,Recovery Shield,,回復シールド,
Item_Name_34,19234362085409,,응급 치료 키트,,Emergency Treatment Kit,,救急治療キットです,
Item_Name_35,19234362085410,,숙련의 장갑,,Skillful Gloves,,熟練の手袋,
Item_Name_36,19234362085411,,미니 드론,,Mini Drone,,ミニドローンです,
Item_Name_37,19234362085412,,지도,,Map,,地図,
Item_Name_38,19234362085413,,맥주,,Beer,,ビールです,
Item_Name_39,19234362085414,,오버 차,,OverCharged,,オーバーチャージ,
Item_Name_40,19234362085415,,로봇 공장,,Robot Factory,,ロボット工場です,
Item_Name_41,19234362085416,,금지된 아드레날린,,Forbidden Adrenaline,,禁止されているアドレナリンです,
Item_Name_42,19234362085417,,레이저 드론,,Laser Drone,,レーザードローンです,
Item_Name_43,19234362085418,,섬광탄,,Flash Bang,,閃光弾,
Item_Name_44,19234362085419,,케틀링 총,,Ketling gun,,ケトリング銃,
Item_Name_45,19234362085420,,미사일 총,,Missile Gun,,ミサイル銃,
Item_Name_46,19234362085421,,레이저 총,,Laser Gun,,レーザー銃,
Item_Name_47,19234362085422,,화염 방사기,,Flame Emitter,,火炎放射器,
Item_Name_48,19234362085423,,전격의 총알,,Blitzkrieg Bullet,,電撃の弾,
Item_Name_49,19234362085424,,용병 강화 재료,,Mercenary Reinforcement Materials,,傭兵強化材料です,
Item_Name_50,19234362085425,,일반 기차 강화 재료,,Regular Train Reinforced Materials,,一般列車強化材料です,
Item_Name_51,19234362085426,,무기 기차 강화 재료,,Weapon Train Reinforced Materials,,武器列車強化材料です,
Item_Name_52,19234362085427,,부스터 기차 강화 재료,,Booster Train Reinforced Materials,,ブースター列車強化材料です,
Item_Name_53,19234362085428,,변환 재료,,Conversion Material,,変換材料です,
Item_Name_54,19234362085429,,랜덤 강화 재료 박스,,Random Reinforced Material Box,,ランダム強化材料ボックス,
Item_Name_55,19234362085430,,랜덤 아이템 박스,,Random Item box,,ランダム アイテム ボックス,
Item_Name_56,19234362085431,,랜덤 박스,,Random Box,,ランダムボックス,
Item_Name_57,19234362085432,,스킬북,,Skill Book,,スキルブック,
Item_Name_58,19234362085433,,잃어버린 택배,,Lost Parcel,,失くした宅配便です,
Item_Name_59,19234362085434,,코인 뭉텅이,,Bunch Of Coins,,コイン一枚です,
Item_Name_60,19234362085435,,코인 지갑,,Coin Wallet,,コイン財布です,
Item_Name_61,19234362085436,,코인 상자,,Coin Box,,コインの箱です,
Item_Name_62,19234362085437,,보석 뭉텅이,,Bundle Of Jewels,,宝石の束です,
Item_Name_63,19234362085438,,보석 지갑,,Jewelry Wallet,,宝石の財布です,
Item_Name_64,19234362085439,,보석 상자,,Jewelry Box,,宝石箱です,
Item_Name_65,19234362085440,,뼈다귀,,Bone Of Bone,,骨です,
Item_Name_66,19234362085441,,헌 신발,,Old Shoes,,古い靴です,
Item_Name_67,19234362085442,,깨진 손거울,,Broken Hand Mirror,,割れた手鏡,
Item_Name_68,19234362085443,,녹슨 고철,,Rusty Scrap Metal,,錆びた古鉄,
Item_Name_69,19234362085444,,고장난 시계,,Broken Watch,,壊れた時計,
Item_Name_70,19234362085445,,미정,,Undetermined,,未定.,
Item_Name_71,19234362085446,,미정,,Undetermined,,未定.,
Item_Name_72,19234362085447,,미정,,Undetermined,,未定.,
Item_Name_73,19234362085448,,미정,,Undetermined,,未定.,
Item_Name_74,19234362085449,,미정,,Undetermined,,未定.,
Item_Name_75,19234362085450,,미정,,Undetermined,,未定.,
Item_Name_76,19234362085451,,미정,,Undetermined,,未定.,
Item_Name_77,19234362085452,,미정,,Undetermined,,未定.,
Item_Name_78,19234362085453,,미정,,Undetermined,,未定.,
Item_Name_79,19234362085454,,미정,,Undetermined,,未定.,
Item_Information_-1,14464362862465024,,,,,,,
Item_Information_0,19234362085455,,쓰러진 용병중 한명을 부활시킵니다.,,Resurrect one of the fallen mercenaries.,,倒れた傭兵の一人を復活させます。,
Item_Information_1,19234362085456,,체력의 10%를 회복합니다.,,It restores 10% of your physical strength.,,体力の10%を回復します。,
Item_Information_2,19234362085457,,체력의 20%를 회복합니다.,,It restores 20% of your physical strength.,,体力の20%を回復します。,
Item_Information_3,19234362085458,,연료의 10%를 충전합니다,,It charges 10% of the fuel,,燃料の 10% を充電します,
Item_Information_4,19234362085459,,연료의 20%를 충전합니다,,It charges 20% of the fuel,,燃料の 20% を充電します,
Item_Information_5,19234362085460,,기차 차량칸 전체의 내구도를 10% 수리합니다.,,Repair 10% of the durability of the entire train compartment.,,電車の車両室全体の耐久度を 10% 修理します。,
Item_Information_6,19234362085461,,기차 차량칸 전체의 내구도를 15% 수리합니다.,,Repair 15% of the durability of the entire train compartment.,,電車の車両室全体の耐久度を 15% 修理します。,
Item_Information_7,19234362085462,,15초 동안 기차 속도를 높입니다.,,Speed up the train for 15 seconds.,,15 秒間、電車の速度を上げます。,
Item_Information_8,19234362085463,,20초 동안 플레이어의 이동속도를 대폭 상승시킵니다.,,It significantly increases the player's travel speed for 20 seconds.,,20 秒間、プレイヤーの移動速度を大幅に上昇させます。,
Item_Information_9,19234362085464,,10초 동안 플레이어의 이동속도가 소폭 상승하고 체력의 1%를 회복합니다,,The 10 seconds gun player's movement speed increases slightly and restores 1% of his physical strength,,"10 秒間, プレーヤーの移動速度がわずかに上昇し、体力の 1% を回復します",
Item_Information_10,19234362085465,,20초 동안 용병들의 행동 쿨타임이 10%감소하고 행동 카운트를 1회 증가시킵니다.,,Reduce mercenaries' behavioral cool time by 10% for 20 seconds and increase the behavior count by 1 time.,,20秒間、傭兵の行動クールタイムが10%減少し、行動カウントを1回増加させます。,
Item_Information_11,19234362085466,,20초 동안 플레이어의 공격력이 5증가합니다.,,The player's attack power increases by 5 during 20 seconds.,,20 秒間、プレイヤーの攻撃力が 5 増加します。,
Item_Information_12,19234362085467,,플레이어의 상태이상을 해제합니다.,,Turn off the player's state abnormalities.,,プレイヤーのステータス異常を解除します。,
Item_Information_13,19234362085468,,적에게 폭탄 풍선을 날립니다.,,Throw bomb balloons at the enemy.,,敵に爆弾風船を飛ばします。,
Item_Information_14,19234362085469,,15초동안 적 처치시 획득하는 골드가 2배가 됩니다.,,The gold you earn when you kill enemies for 15 seconds is doubled.,,15秒間、敵を倒すと獲得するゴールドが2倍になります。,
Item_Information_15,19234362085470,,"7초 동안 포탑의 공격속도, 회전속도가 증가합니다.",,The attack speed and rotation speed of the turret increase for 7 seconds.,,7秒間、砲塔の攻撃速度、回転速度が増加します。,
Item_Information_16,19234362085471,,모든 용병의 체력을 10% 회복합니다.,,It restores 10% of all mercenaries' physical strength.,,すべての傭兵の体力を10%回復します。,
Item_Information_17,19234362085472,,약점을 공격해 적에게 입히는 데미지가 2배가 됩니다.,,It doubles the damage you do to your enemy by attacking your weaknesses.,,弱点を攻撃して敵に与えるダメージが2倍になります。,
Item_Information_18,19234362085473,,적이 다가오면 폭발하는 지뢰를 설치합니다.,,"When the enemy approaches, they install an exploding mine.",,敵が近づくと爆発する地雷を設置します。,
Item_Information_19,19234362085474,,접촉시 데미지를 주는 철조망을 설치합니다.,,Install a barbed wire fence that will damage you in case of contact.,,接触時にダメージを与える鉄条網を設置します。,
Item_Information_20,19234362085475,,10초 동안 적을 공격할 경우 체력의 0.5%를 회복합니다.,,"If you attack your enemy for 10 seconds, you will recover 0.5% of your stamina.",,10秒間、敵を攻撃すると体力の0.5%を回復します。,
Item_Information_21,19234362085476,,10초 동안 공격력이 감소하지만 최대 3마리까지 튕기는 탄을 발사합니다.,,It fires a bullet that reduces attack power for 10 seconds but bounces up to three.,,10秒間、攻撃力が減少しますが、最大3匹まで跳ね返る弾を発射します。,
Item_Information_22,19234362085477,,10초 동안 공격력이 감소하지만 적에게 화상을 부여합니다.,,"It reduces attack power for 10 seconds, but gives the enemy a burn.",,10 秒間、攻撃力が減少しますが、敵に火傷を与えます。,
Item_Information_23,19234362085478,,공격력 30의 단검을 5회 던집니다.,,Throw 5 daggers with an attack power of 30.,,攻撃力30の短剣を5回投げます。,
Item_Information_24,19234362085479,,20초동안 적의 출현 빈도가 감소합니다.,,The frequency of the enemy's appearance decreases for 20 seconds.,,20 秒間、敵の出現頻度が減少します。,
Item_Information_25,19234362085480,,20초동안 적의 출현 빈도가 증가합니다.,,The frequency of the enemy's appearance increases for 20 seconds.,,20 秒間、敵の出現頻度が増加します。,
Item_Information_26,19234362085481,,20초 동안 적들을 약화시킵니다.,,Weaken enemies for 20 seconds.,,20秒間、敵を弱体化させます。,
Item_Information_27,19234362085482,,20초 동안 적들의 크기가 증가하고 이동속도가 느려집니다.,,"For 20 seconds, the size of the enemies increases and the speed of movement slows down.",,20 秒間、敵のサイズが増加し、移動速度が遅くなります。,
Item_Information_28,19234362085483,,큰 천막을 랜덤한 위치에 설치합니다.,,Set up a large tent in a random location.,,大きなテントをランダムな位置に設置します。,
Item_Information_29,19234362085484,,10초간 유지되는 미니 포탑을 랜덤한 위치에 설치합니다.,,Install a mini turret that lasts for 10 seconds in a random location.,,10 秒間保持されるミニ砲塔をランダムな位置に設置します。,
Item_Information_30,19234362085485,,15초 동안 플레이어의 공격력과 공격속도를 증가시킵니다.,,Increase the player's attack power and attack speed for 15 seconds.,,15 秒間、プレイヤーの攻撃力と攻撃速度を増加させます。,
Item_Information_31,19234362085486,,20초 동안 탄환의 크기를 증가시킵니다.,,Increase the size of the bullet for 20 seconds.,,20秒間、弾丸の大きさを増加させます。,
Item_Information_32,19234362085487,,방어막을 생성합니다.,,Create a shield.,,防御膜を生成します。,
Item_Information_33,19234362085488,,플레이어의 체력을 5초 동안 지속적으로 회복하는 방어막을 생성합니다.,,Creates a shield that continuously restores the strength of the player for 5 seconds.,,プレイヤーの体力を 5 秒間継続的に回復する防御膜を生成します。,
Item_Information_34,19234362085489,,체력의 10%를 즉시 회복합니다.,,It instantly restores 10% of your physical strength.,,体力の10%をすぐに回復します。,
Item_Information_35,19234362085490,,15초 동안 용병의 쿨타임이 40% 감소합니다.,,"In 15 seconds, the mercenary's cool time is reduced by 40%.",,15 秒間、傭兵のクールタイムが 40% 減少します。,
Item_Information_36,19234362085491,,미니 드론을 소환하여 공중의 적들에게 데미지를 줍니다.,,Summon mini drones to damage enemies in the air.,,ミニドローンを召喚して、空中の敵にダメージを与えます。,
Item_Information_37,19234362085492,,15초 동안 시야가 넓어집니다.,,The field of view is widened for 15 seconds.,,15秒間、視野が広がります。,
Item_Information_38,19234362085493,,30초 동안 용병의 행동카운트가 2회 늘어납니다.,,"In 30 seconds, the mercenary's action count is increased by two times.",,30秒間、傭兵の行動カウントが2回増えます。,
Item_Information_39,19234362085494,,"12초 동안 포탑의 공격속도, 회전속도가 증가합니다.",,The attack speed and rotation speed of the turret increase for 12 seconds.,,12秒間、砲塔の攻撃速度、回転速度が増加します。,
Item_Information_40,19234362085495,,5초에 한 번 씩 지상폭탄로봇을 소환하는 공장을 설치합니다.(지속시간 30초),,Install a factory that summons ground bomb robots every 5 seconds (30 seconds),,5秒に1回、地上爆弾ロボットを召喚する工場を設置します。(持続時間30秒),
Item_Information_41,19234362085496,,플레이어의 체력이 20% 감소하지만 10초 동안 플레이어의 능력을 상향시킵니다.,,"Although the player's physical strength is reduced by 20%, it increases the player's ability for 10 seconds.",,プレイヤーの体力は 10% 減少しますが、30 秒間プレイヤーの能力を高めます。,
Item_Information_42,19234362085497,,레이저 드론을 소환합니다.,,Summon laser drones.,,レーザードローンを召喚します。,
Item_Information_43,19234362085498,,섬광탄을 던져 범위 내의 적들을 7초 동안 기절시킵니다.,,Throw scintillation bullets to stun enemies within range for 7 seconds.,,閃光弾を投げて範囲内の敵を7秒間、気絶させます。,
Item_Information_44,19234362085499,,5초동안 게틀링건을 사용 할 수 있습니다.,,You can use the gettling gun for 5 seconds.,,5秒間、ゲトリングガンを使用できます。,
Item_Information_45,19234362085500,,5발의 유도 미사일을 발사할 수 있습니다.,,It can fire five guided missiles.,,5発の誘導ミサイルを発射できます。,
Item_Information_46,19234362085501,,10초 동안 레이저건을 사용할 수 있습니다.,,The laser gun can be used for 10 seconds.,,10秒間、レーザーガンを使用できます。,
Item_Information_47,19234362085502,,10초 동안 화염방사기를 사용할 수 있습니다.,,You can use the flamethrower for 10 seconds.,,火炎放射器を10秒間使用できます。,
Item_Information_48,19234362085503,,15초 동안 적에게 스턴을 부여 할 수 있는 총을 사용할 수 있습니다.,,You can use a gun that can give your enemy a stun for 15 seconds.,,15秒間、敵にスターンを与えることができる銃を使用できます。,
Item_Information_49,19234362085504,,용병을 강화할 수 있는 재료이다.,,It is a material that can strengthen mercenaries.,,傭兵を強化できる材料だ。,
Item_Information_50,19234362085505,,일반 기차를 강화할 수 있는 재료이다.,,It is a material that can strengthen regular trains.,,普通の汽車を強化できる材料だ。,
Item_Information_51,19234362085506,,무기 파츠를 강화할 수 있는 재료이다.,,It is a material that can strengthen inorganic parts.,,武器パーツを強化できる材料だ。,
Item_Information_52,19234362085507,,부스터 파츠를 강화할 수 있는 재료이다.,,It is a material that can strengthen booster parts.,,ブースターパーツを強化できる材料です。,
Item_Information_53,19234362085508,,다른 강화재료로 변환할 수 있는 재료이다. 최소 10개를 가지고 있어야 변환이 가능하다.,,It is a material that can be converted into other reinforcing materials. You need to have at least 10 to convert.,,他の強化材料に変換できる材料である。 少なくとも10個を持っていなければ変換ができない。,
Item_Information_54,19234362085509,,"용병, 일반, 무기, 부스터, 변환 재료가 들어있다. 최대 10개까지 획득 가능하다.",,"Contains mercenaries, general, weapons, boosters, and conversion materials. Up to 10 can be obtained.",,傭兵、一般、武器、ブースター、変換材料が入っている。 最大10個まで獲得可能だ。,
Item_Information_55,19234362085510,,"장착, 일반 아이템이 들어있다. 1개 획득 가능하다.",,"Equipped, it contains regular items. 1 can be obtained.",,装着、一般アイテムが入っている。 1つ獲得可能だ。,
Item_Information_56,19234362085511,,"용병, 일반, 무기, 부스터, 변환, 장착, 일반 아이템이 들어있다. 1개 획득 가능하다.",,"Contains mercenaries, general, weapons, boosters, conversions, fittings, and general items. 1 can be obtained.",,傭兵、一般、武器、ブースター、変換、装着、一般アイテムが入っている。 1つ獲得可能だ。,
Item_Information_57,19234362085512,,사용시 숙련도 1포인트 획득.,,Earn 1 point of proficiency in use.,,使用時の熟練度1ポイント獲得。,
Item_Information_58,19234362085513,,"잃어버린 택배, 상점에 주면 보상금을 얻을 수 있다.",,"Lost courier, give it to the store and you can get compensation.",,なくした宅配、商店に渡せば補償金を得ることができる。,
Item_Information_59,19234362085514,,100골드가 들어있다.,,It contains 100 gold.,,100ゴールドが入っている。,
Item_Information_60,19234362085515,,1000골드가 들어있다.,,It contains 1000 gold.,,1000ゴールドが入っている。,
Item_Information_61,19234362085516,,3000골드가 들어있다.,,It contains 3000 gold.,,3000ゴールドが入っている。,
Item_Information_62,19234362085517,,5000골드로 환급 가능하다.,,It is refundable at 5000 gold.,,5000ゴールドで払い戻し可能だ。,
Item_Information_63,19234362085518,,8000골드로 환급 가능하다.,,It is refundable for 8000 gold.,,8000ゴールドで払い戻し可能だ。,
Item_Information_64,19234362085519,,10000골드로 환급 가능하다.,,It is refundable at 10000 gold.,,10000ゴールドに払い戻し可能です。,
Item_Information_65,19234362085520,,"누군가의 뼈, 50골드로 팔 수 있을 듯하다.",,"Someone's bone, It seems like it can be sold for 50 gold.",,誰かの骨、50ゴールドで売れそうだ。,
Item_Information_66,19234362085521,,"구멍이 난 헌 신발, 50골드로 팔 수 있을 듯하다.",,"Old shoes with holes, I don't think I can sell them.",,穴のあいた古い靴、50ゴールドで売れそうだ。,
Item_Information_67,19234362085522,,"깨져서 제대로 보이지 않는 거울, 50골드로 팔 수 있을 듯하다.",,"A mirror that's broken and can't be seen properly, It seems like it can be sold for 50 gold.",,割れてまともに見えない鏡、50ゴールドで売れそうだ。,
Item_Information_68,19234362085523,,"녹이 잔뜩 슬어버린 고철, 50골드로 팔 수 있을 듯하다.",,"Scrap metal, completely rusted. It seems like it can be sold for 50 gold.",,錆びた古鉄、50ゴールドで売れそうだ。,
Item_Information_69,19234362085524,,"버려진 고장난 시계, 50골드로 팔 수 있을 듯하다.",,"Abandoned broken watch, It seems like it can be sold for 50 gold.",,捨てられた壊れた時計、50ゴールドで売れそうだ。,
Item_Information_70,19234362085525,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_71,19234362085526,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_72,19234362085527,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_73,19234362085528,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_74,19234362085529,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_75,19234362085530,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_76,19234362085531,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_77,19234362085532,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_78,19234362085533,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_79,19234362085534,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,